OBJECTID,ZONE_CMPLT,ZONE_CLASS,ZONE_SMRY,SHAPE_Length,SHAPE_Area
19089,PF-1XL,PF,PUBLIC FACILITY,0.00827993770612,2.48437013569576e-06
19090,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0085490160247889,1.40607285582989e-06
19091,PF-1XL,PF,PUBLIC FACILITY,0.0356029413239398,5.56877420942772e-06
19092,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0044209682043541,7.29095917926686e-07
19093,PF-1XL,PF,PUBLIC FACILITY,0.0127767587461041,1.95411632625791e-06
19094,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0047561422851479,7.96048873617727e-07
19095,PF-1XL,PF,PUBLIC FACILITY,0.0075513486770772,2.21943972858144e-06
19096,PF-1XL,PF,PUBLIC FACILITY,0.0788904032008405,0.000123796797355
19097,PF-1XL,PF,PUBLIC FACILITY,0.002116159186585,2.40160913380536e-07
19098,PF-1XL,PF,PUBLIC FACILITY,0.0054881473445118,1.88012697892415e-06
19099,PF-1XL,PF,PUBLIC FACILITY,0.0111013903298455,7.22718672414714e-06
19100,PF-1XL,PF,PUBLIC FACILITY,0.0073870232011506,1.58925817336764e-06
19101,PF-1XL,PF,PUBLIC FACILITY,0.0077320137910123,1.4338449432893e-06
19102,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0260227322892417,3.85527066115943e-06
19103,PF-1XL,PF,PUBLIC FACILITY,0.0151326733685419,3.30801434773577e-06
19104,PF-1XL,PF,PUBLIC FACILITY,0.0089765610397284,2.15218689477163e-06
19105,PF-1XL,PF,PUBLIC FACILITY,0.0402993835172517,8.63274426777865e-06
19106,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0102734852750357,2.08616529950802e-06
19107,PF-1XL,PF,PUBLIC FACILITY,0.0014039144375107,8.84280195734154e-08
19108,PF-1XL,PF,PUBLIC FACILITY,0.0033626323077553,4.30819836175711e-07
19109,PF-1XL,PF,PUBLIC FACILITY,0.0042275949882031,6.26189553001858e-07
19110,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0172913537081907,2.53424032124339e-06
19111,PF-1XL,PF,PUBLIC FACILITY,0.0140284537966418,3.6037697423754e-06
19112,PF-1XL,PF,PUBLIC FACILITY,0.0048579412461769,1.10335733437153e-06
19113,PF-1XL,PF,PUBLIC FACILITY,0.0158101547590225,5.79258434040642e-06
19114,PF-1XL,PF,PUBLIC FACILITY,0.0036964756998972,4.69124188096694e-07
19115,PF-1XL,PF,PUBLIC FACILITY,0.0015510534147627,9.49010372095505e-08
19116,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0261159712864738,3.85775393471364e-06
19117,PF-1XL,PF,PUBLIC FACILITY,0.0144785945630106,1.39765078899465e-06
19118,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0068552503356818,2.7598990662201e-06
19119,PF-1XL,PF,PUBLIC FACILITY,0.0018693860850419,1.59698625349059e-07
