OBJECTID,Area_Acres,Park_ID,Address,Name,Park_Class,ACRES
224,1.11524952,246,1850 W Silverlake Dr,Silverlake Dog Park,N,1.11524952
225,3.62840692,221,5306 S Compton Ave,James Slauson Recreation Center,N,3.62840692
226,0.74118112,381,7020 S Figueroa Street,South Los Angeles Sports Activity Center,N,0.74118112
227,18.25018545,601,345 E 51st St,South Park Recreation Center,C,18.25018545
228,0.17229024,263,2301 W. 24th Street,South Seas House,N,0.17229024
229,2.61704055,877,716 N State Street,State Street Recreation Center,N,2.61704055
230,28.30875438,563,13877 Glenoaks Blvd,Stetson Ranch Park,C,28.30875438
231,13.70909321,358,9901 Dronfield St,Stonehurst Recreation Center,C,13.70909321
232,8.65607089,121,1835 Stoner Ave,Stoner Recreation Center,N,8.65607089
233,29.05620728,776,10870 Topanga Canyon Blvd,Stoney Point Park,C,29.05620728
234,12.73530335,224,8041 Whitsett Ave,Strathern Park - North,C,12.73530335
235,0.42687784,343,12505 Moorpark Street,Studio City Mini-Park,N,0.42687784
236,8.46400012,194,12505 Moorpark St,Studio City Recreation Center,N,8.46400012
237,17.26066808,813,8133 Vineland Ave,Sun Valley Park,C,17.26066808
238,14.3219796,363,8651 Foothill Blvd,Sunland Park,C,14.3219796
239,13.61600019,736,4702 N Figueroa Street,Sycamore Grove Park,C,13.61600019
240,19.77623242,564,13109 Borden Ave,Sylmar Park,C,19.77623242
241,5.57224821,522,5655 Vanalden Ave,Tarzana Recreation Center,N,5.57224821
242,2.45490982,523,23367 Ingomar St,Taxco Trails Park,N,2.45490982
243,37.58957701,111,15900 Pacific Coast Hwy,Temescal Canyon Park,C,37.58957701
244,0.28702509,148,415 Culver Blvd,Titmouse Park,N,0.28702509
245,2.73926359,737,1725 Toberman Street,Toberman Recreation Center,N,2.73926359
246,1.61128071,566,9122 Tobias Ave,Tobias Avenue Park,N,1.61128071
247,0.14948861,150,Trask Avenue and Waterview St,Trask Triangle Park,N,0.14948861
248,0.09096021,135,652 Marr St,Triangle Park,N,0.09096021
249,2.06298466,604,2415 Trinity St,Trinity Recreation Center,N,2.06298466
250,0.06295977,738,8th Street & Valencia Street,Valencia Triangle,N,0.06295977
251,77.64113661,360,12240 Archwood Street,Valley Plaza Park,R,77.64113661
252,7.81360616,375,5720 2nd Avenue,Van Ness Recreation Center,N,7.81360616
253,65.17562787,357,14201 Huston St,Van Nuys - Sherman Oaks Park,R,65.17562787
254,1.3779326,814,6514 Sylmar Ave,Van Nuys Multipurpose Center,N,1.3779326
255,3.89422407,815,14301 Vanowen Ave,Van Nuys Recreation Center,N,3.89422407
256,10.88540621,778,8956 Vanalden Ave,Vanalden Park,C,10.88540621
257,160.75253296,138,2300 Ocean Front Wk,Venice Beach,R,160.75253296
258,1.47271284,141,2490 Walgrove Ave,Venice High School Pool,N,1.47271284
259,0.7531548,364,10654 Irma Ave,Verdugo Hills Pool,N,0.7531548
260,3.0086956,603,1248 W 47th St,Vermont Square,N,3.0086956
261,6.48155308,350,11117 W Victory Blvd,Victory-Vineland Recreation Center,N,6.48155308
262,10.06960343,195,11500 Viking Ave,Viking Park,C,10.06960343
263,0.92608651,264,2942 Vineyard Avenue,Vineyard Recreation Center,N,0.92608651
264,0.51638822,241,464 N Madison Ave,Madison West Park,N,0.51638822
265,0.84108473,152,8150 Vista Del Mar,Vista Del Mar Park,N,0.84108473
266,15.30628426,524,5830 N. Topanga Canyon Blvd,Warner Ranch Park,C,15.30628426
267,47.58094658,288,1824 N Curson Ave,Wattles Garden Park,C,47.58094658
268,1.29669046,327,1657 E. Century Blvd.,Watts Senior Citizen Center,N,1.29669046
269,10.21254867,196,10844 Acama St,Weddington Park North,C,10.21254867
270,14.48380305,287,10800 Valley Heart Dr,Weddington Park South,C,14.48380305
271,15.05183452,525,6900 Valley Circle Blvd,West Hills Sport Center,C,15.05183452
272,8.08074689,526,6731 Wilbur Ave.,West Valley Park,N,8.08074689
273,23.57859354,151,7000 W Manchester Ave,Westchester Recreation Center,C,23.57859354
274,2.24358836,132,1234 Pacific Ave,Westminster Park,N,2.24358836
275,0.87007152,133,1234 Pacific Ave,Westminster Dog Park,N,0.87007152
276,26.69566228,666,1350 S Sepulveda Blvd,Westwood Park,C,26.69566228
277,1.37760044,285,5801 1/2 Whitnall Hwy,Whitnall Dog Park,N,1.37760044
278,125.13442464,197,S of Maxwell Fire Rd,Wilacre Park,R,125.13442464
279,7.28812133,779,12001 Wibur Ave,Wilbur-Tampa Park,N,7.28812133
280,0.83339013,1002,8341 De Longpre Ave.,William S. Hart Park,N,0.83339013
281,7.3064255,324,325 Neptune Ave.,Wilmington Recreation Center,N,7.3064255
282,0.48369768,323,"Avalon Place & ""I"" Street",Wilmington Town Square,N,0.48369768
